Sleep duration,Caffeine consumption,Alcohol consumption,Exercise frequency,Female,Male,Late Bedtime,Normal Bedtime,Really Late Bedtime,Non-Smoker,Smoker,Early Wakeup,Late Wakeup,Normal Wakeup,Very Early Wakeup,Efficient
8.5,25,1,0,0,1,1,0,0,0,1,0,0,1,0,1
7,0,0,5,0,1,1,0,0,1,0,0,0,1,0,1
8,0,5,3,0,1,0,1,0,1,0,1,0,0,0,0
7,0,4,0,0,1,0,1,0,0,1,1,0,0,0,0
7,0,4,2,0,1,0,1,0,1,0,0,0,0,1,1
8,0,4,2,0,1,0,1,0,1,0,0,0,0,1,1
6,0,0,4,1,0,0,0,1,1,0,0,0,1,0,1
7,50,5,0,0,1,1,0,0,1,0,1,0,0,0,0
8,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0
7,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
9,0,5,3,0,1,0,1,0,0,1,1,0,0,0,0
8.5,50,0,0,0,1,1,0,0,1,0,1,0,0,0,0
7.5,25,0,1,1,0,1,0,0,0,1,1,0,0,0,1
7,50,0,1,1,0,1,0,0,0,1,0,0,1,0,1
7,0,3,0,0,1,0,1,0,1,0,0,0,0,1,0
7,0,2,4,1,0,1,0,0,1,0,0,0,1,0,0
7.5,0,3,0,1,0,1,0,0,1,0,0,0,1,0,0
9,0,3,3,1,0,0,1,0,0,1,1,0,0,0,0
5,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1
7.5,25,1,1,0,1,1,0,0,1,0,1,0,0,0,0
7.5,0,0,3,1,0,1,0,0,0,1,1,0,0,0,1
7,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1
7.5,0,0,4,0,1,0,0,1,1,0,0,0,1,0,1
7,0,3,3,1,0,1,0,0,1,0,0,0,1,0,1
8,0,0,3,1,0,0,1,0,1,0,1,0,0,0,1
7.5,25,0,1,1,0,0,1,0,1,0,0,0,0,1,1
8,75,0,2,0,1,0,1,0,0,1,0,0,0,1,1
7,0,0,3,1,0,0,0,1,1,0,0,0,1,0,1
7,75,0,4,1,0,0,0,1,1,0,0,0,1,0,1
7,50,0,1,0,1,1,0,0,1,0,1,0,0,0,1
8,0,0,3,1,0,1,0,0,1,0,0,0,1,0,1
7,0,0,2,1,0,0,1,0,1,0,0,0,0,1,1
7,50,1,3,1,0,0,0,1,1,0,0,0,1,0,1
7.5,50,0,1,0,1,0,0,1,1,0,0,0,1,0,1
7.5,25,0,1,1,0,1,0,0,0,1,1,0,0,0,1
7,50,0,0,0,1,1,0,0,0,1,1,0,0,0,0
8,75,0,2,0,1,0,0,1,1,0,0,0,1,0,1
8,25,0,3,0,1,0,0,1,1,0,0,0,1,0,1
8,75,0,2,0,1,0,0,1,1,0,0,0,1,0,1
7,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
8,25,0,1,1,0,0,1,0,1,0,0,0,0,1,1
7.5,0,0,3,1,0,0,0,1,1,0,0,0,1,0,1
7.5,50,0,1,0,1,1,0,0,1,0,0,0,1,0,1
6,75,0,2,0,1,0,1,0,0,1,0,0,0,1,1
8,50,0,3,0,1,0,1,0,0,1,0,0,0,1,1
7.5,25,0,4,1,0,1,0,0,1,0,1,0,0,0,1
9,25,2,0,1,0,0,1,0,1,0,0,0,0,1,0
6,25,1,1,1,0,1,0,0,1,0,1,0,0,0,0
8,50,0,1,1,0,0,1,0,0,1,0,0,0,1,1
7,50,3,0,0,1,1,0,0,1,0,1,0,0,0,0
7,50,0,3,1,0,0,0,1,1,0,0,0,1,0,1
8.5,0,1,3,0,1,0,1,0,1,0,1,0,0,0,0
10,50,0,1,1,0,0,1,0,0,1,0,0,0,1,0
9,0,0,3,1,0,0,0,1,1,0,0,0,1,0,0
9,0,0,3,1,0,0,1,0,0,1,1,0,0,0,1
8.5,50,0,1,0,1,0,1,0,0,1,0,0,0,1,1
6,75,1,4,1,0,0,0,1,1,0,0,0,1,0,1
7.5,0,0,3,1,0,0,0,1,1,0,0,0,1,0,1
7,0,5,4,1,0,1,0,0,1,0,0,0,1,0,1
7.5,25,2,2,0,1,1,0,0,1,0,0,0,0,1,0
8,50,2,4,0,1,0,0,1,1,0,0,0,1,0,1
7,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
7,0,4,0,1,0,0,1,0,1,0,0,0,0,1,0
7,25,1,0,1,0,1,0,0,0,1,1,0,0,0,1
7,50,5,1,1,0,1,0,0,1,0,1,0,0,0,0
7,50,2,1,0,1,1,0,0,0,1,1,0,0,0,0
7.5,50,2,1,0,1,0,0,1,0,1,0,1,0,0,0
7.5,0,0,4,1,0,0,0,1,1,0,0,0,1,0,1
6,0,0,3,0,1,1,0,0,1,0,1,0,0,0,1
7.5,0,0,3,1,0,0,1,0,0,1,1,0,0,0,1
5,0,0,2,0,1,1,0,0,0,1,1,0,0,0,1
7,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
7,25,0,2,1,0,0,1,0,1,0,0,0,0,1,1
8,25,0,3,1,0,0,0,1,1,0,0,0,1,0,1
7,50,2,2,1,0,1,0,0,1,0,0,0,1,0,0
7,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
7,50,0,1,1,0,0,0,1,1,0,1,0,0,0,0
7,50,0,0,0,1,0,1,0,1,0,1,0,0,0,1
7.5,50,2,3,1,0,0,0,1,0,1,0,0,1,0,0
10,25,1,0,1,0,1,0,0,1,0,1,0,0,0,1
8,50,0,1,0,1,1,0,0,0,1,1,0,0,0,1
8,0,3,3,1,0,0,1,0,1,0,1,0,0,0,1
8,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
7,0,0,3,1,0,0,0,1,1,0,0,0,1,0,1
8,0,0,3,1,0,0,0,1,1,0,0,0,1,0,1
9,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
7,25,0,2,0,1,0,0,1,1,0,0,1,0,0,1
7,50,5,1,0,1,1,0,0,0,1,1,0,0,0,0
8,25,0,4,1,0,0,0,1,1,0,0,0,1,0,1
7.5,0,1,3,1,0,1,0,0,0,1,1,0,0,0,0
8,25,4,1,1,0,1,0,0,1,0,0,0,0,1,0
7.5,0,0,4,0,1,1,0,0,1,0,0,0,1,0,1
7,0,5,2,1,0,1,0,0,1,0,1,0,0,0,0
7,0,0,2,1,0,0,0,1,1,0,0,0,1,0,1
8,25,1,0,1,0,0,0,1,1,0,0,0,1,0,1
7.5,200,0,3,1,0,1,0,0,1,0,1,0,0,0,1
7.5,0,5,0,0,1,1,0,0,1,0,0,0,1,0,0
7.5,25,0,2,1,0,0,0,1,1,0,0,1,0,0,1
7,25,1,0,0,1,1,0,0,0,1,0,0,0,1,1
7,0,2,3,0,1,0,0,1,0,1,0,0,1,0,0
8,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
8,0,4,3,1,0,1,0,0,1,0,0,0,1,0,0
8,0,3,3,0,1,0,1,0,1,0,1,0,0,0,1
7,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
7.5,50,2,3,0,1,1,0,0,1,0,1,0,0,0,0
7,0,5,3,1,0,1,0,0,1,0,0,0,0,1,1
7,0,3,4,0,1,0,0,1,1,0,0,0,1,0,1
7,50,4,1,1,0,0,0,1,1,0,0,0,1,0,1
7,0,4,0,1,0,0,1,0,0,1,0,0,0,1,0
7.5,25,0,1,0,1,0,1,0,1,0,0,0,0,1,1
7.5,50,2,5,0,1,0,0,1,1,0,0,0,1,0,1
6,75,0,2,1,0,0,0,1,1,0,0,0,1,0,1
7,0,5,3,0,1,0,1,0,1,0,1,0,0,0,1
7,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
5.5,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
8.5,25,1,0,1,0,0,0,1,0,1,0,1,0,0,1
7.5,25,0,2,0,1,1,0,0,0,1,1,0,0,0,1
7.5,50,0,1,1,0,0,1,0,0,1,0,0,0,1,1
6,0,0,4,0,1,0,0,1,1,0,0,0,1,0,1
8.5,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
8,0,0,3,0,1,1,0,0,1,0,1,0,0,0,1
7,75,2,2,0,1,1,0,0,0,1,0,1,0,0,0
8,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
8,0,0,5,0,1,1,0,0,1,0,0,0,1,0,1
5,25,1,0,1,0,0,0,1,1,0,0,0,1,0,1
7,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
9,0,0,3,1,0,0,0,1,0,1,0,0,1,0,1
7,0,3,4,1,0,0,0,1,1,0,0,0,1,0,1
7,0,3,3,1,0,1,0,0,0,1,1,0,0,0,0
7,25,0,1,1,0,0,1,0,1,0,1,0,0,0,0
9,0,3,3,0,1,0,1,0,1,0,1,0,0,0,1
5,75,0,2,1,0,0,1,0,0,1,0,0,0,1,1
8.5,50,0,1,0,1,0,1,0,0,1,0,0,0,1,1
5,50,4,1,1,0,0,1,0,0,1,0,0,0,1,0
9,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
8,25,1,0,1,0,0,1,0,0,1,0,0,0,1,1
8.5,25,2,0,0,1,0,0,1,1,0,0,0,1,0,0
6,0,0,2,0,1,1,0,0,0,1,1,0,0,0,1
7,0,0,3,1,0,0,1,0,0,1,1,0,0,0,1
7,0,0,4,0,1,0,0,1,1,0,0,0,1,0,1
7.5,50,4,1,0,1,1,0,0,1,0,1,0,0,0,0
7,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
7,75,0,3,1,0,0,1,0,1,0,0,0,0,1,1
7.5,50,1,3,0,1,0,0,1,1,0,0,0,1,0,1
8.5,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1
6,25,0,1,1,0,1,0,0,0,1,1,0,0,0,1
8,0,3,3,1,0,0,1,0,1,0,1,0,0,0,1
8,25,1,0,1,0,0,1,0,0,1,1,0,0,0,0
8,50,0,1,1,0,0,0,1,0,1,0,1,0,0,1
7.5,75,1,2,1,0,0,1,0,0,1,0,0,0,1,0
6,0,5,3,1,0,1,0,0,1,0,1,0,0,0,0
7,0,0,3,0,1,0,0,1,1,0,0,0,1,0,1
8,0,4,2,0,1,0,1,0,0,1,0,0,0,1,1
7,0,0,3,1,0,1,0,0,0,1,1,0,0,0,1
7,75,0,2,1,0,0,0,1,1,0,0,0,1,0,1
8,25,1,0,0,1,1,0,0,1,0,0,0,0,1,1
7,25,1,0,0,1,0,1,0,1,0,1,0,0,0,1
7.5,50,4,2,1,0,0,1,0,1,0,0,0,0,1,0
8.5,25,0,1,1,0,1,0,0,0,1,1,0,0,0,1
8.5,50,0,1,1,0,0,1,0,0,1,0,0,0,1,1
7.5,25,2,1,0,1,0,1,0,1,0,1,0,0,0,1
7.5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
7,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
